id,prediction,label,化学式,包含元素,Ea,,优化,Voigt,Reuss,Hill
27811,0.806187987,1,Li2Te2O5,"Li, O, Te",0.15625,,√,56.243,48.31,52.277
35759,0.997445464,1,Li2NiF4,"F, Li, Ni",0.234375,,√,130.57175,35.6154,83.093575
28450,0.99615556,1,Li4P2O7,"Li, O, P",0.380859375,,√,64.547,61.859,63.203
26965,0.993143559,1,Li2CrP2O7,"Cr, Li, O, P",0.25390625,,√,2.241,55.682,28.961
14495,0.999278486,1,Li6ZnO4,"Li, O, Zn",0.37109375,,√,107.228,107.166,107.197
9625,0.999481738,1,LiMgPO4,"Li, Mg, O, P",0.3515625,,√,94.383,93.411,93.897
557467,0.986383319,1,Li4Ca(BO3)2,"B, Ca, Li, O",0.33203125,,√,70.461,67.218,68.84
1020023,0.999813139,1,Li3AlSiO5,"Al, Li, O, Si",0.29296875,,√,85.606,85.16,85.383
9059,0.998834431,1,KLi6TaO6,"K, Li, O, Ta",0.302734375,,√,92.156,84.233,88.195
7020,0.999925852,1,LiYO2,"Li, O, Y",0.37109375,,√,72.338,68.53,70.434
18997,0.922020376,1,LiMnPO4,"Li, Mn, O, P",0.33203125,,√,98.449,97.74,98.095
14023,0.904247582,1,Na3Li3Sc2F12,"F, Li, Na, Sc",0.25390625,,√,,,
